"ProductName","Quantity","Price","SKU","EAN","MPN","Color","Cloud Lock","Appearance","Functionality","Boxed","Additional Info","Network Lock","Customized","CPU Laptops","RAM","Drive","Battery status","Keyboard","COA","LCD Graphics array","GPU laptops","PC Fault Descriptions","PC Additional Fault","Battery cycles","Brand","CPU desktops","GPU desktops","Form factor","Stand","Color Case","Band Type","Color Band","AIO GPU","AIO CPU"
"Apple iPhone 11 128GB",5,"399.00","Apple_00103257800868","0190199224940,190199224940","MWM52ZD/A","Purple","CloudOFF","Grade A","Working","Unboxed","Brand New Battery",,,,,,,,,,,,,,,,,,,,,,,
"Apple iPhone 11 128GB",1,"294.35","Apple_0010212300521","0190199224940,190199224940","MWM52ZD/A","Purple","CloudOFF","Grade C+","Minor Fault","Unboxed","Discoloration",,,,,,,,,,,,,,,,,,,,,,,
"Samsung Galaxy S24 Ultra 5G 256GB S928B DS",1,"807.20","Samsung_0010611130279","","","Grey","CloudOFF","Grade C","Working","Unboxed","Brand New Battery",,,,,,,,,,,,,,,,,,,,,,,
"Samsung Galaxy S24 Ultra 5G 256GB S928B DS",35,"907.95","Samsung_0010641113155","","","Grey","CloudOFF","Grade B","Working","Unboxed","Brand New Battery",,,,,,,,,,,,,,,,,,,,,,,
"Apple iPhone 11 128GB",11,"212.75","00102600600098","0190199224940,190199224940","MWM52ZD/A","Purple","CloudOFF","Grade C+","Working","Unboxed",,,,,,,,,,,,,,,,,,,,,,,,
"VIVO Y76 5G 128GB DS",2,"105.90","Vivo_00105534200035","","","Black","CloudOFF","Grade BC","Working","Unboxed",,,,,,,,,,,,,,,,,,,,,,,,
"Vodafone Smart V10 32GB",1,"63.70","Vodafone_00102844300010","","","Silver","CloudOFF","Grade AB","Working","Unboxed",,,,,,,,,,,,,,,,,,,,,,,,,
"Wiko View 5 DS",1,"43.70","Wiko_00104115223025","","","Blue","CloudOFF","Grade BC","Working","Unboxed",,,,,,,,,,,,,,,,,,,,,,,,
"Wiko View 5 DS",1,"43.70","Wiko_0010411522321","","","Blue","CloudOFF","Grade BC","Working","Unboxed",,,,,,,,,,,,,,,,,,,,,,,,
"Wiko View 5 DS",1,"43.70","Wiko_00104115223023","","","Green","CloudOFF","Grade BC","Working","Unboxed",,,,,,,,,,,,,,,,,,,,,,,,
"Wiko View 5 Plus 128GB",1,"75.90","Wiko_001069647111101","","","Silver","CloudOFF","Grade BC","Working","Unboxed",,,,,,,,,,,,,,,,,,,,,,,,
"Xiaomi 11 Lite NE 5G 128GB DS",1,"108.55","Xiaomi_00104880222226","","","Blue","CloudOFF","Grade BC","Working","Unboxed",,,,,,,,,,,,,,,,,,,,,,,,
